2020-02-04,2339161,Virtus.pro,GODSENT,3,Nuke,Inferno,0.0,Mirage,Train,0.0,Dust2,Vertigo,Overpass
2020-02-04,2339263,PACT,Complexity,1,Mirage,Dust2,Overpass,Vertigo,Nuke,Train,0.0,0.0,Inferno
2020-02-04,2339160,OG,MAD Lions,3,Vertigo,Mirage,0.0,Inferno,Dust2,0.0,Nuke,Train,Overpass
2020-02-04,2339265,AGF,AVEZ,1,Vertigo,Dust2,Nuke,Overpass,Mirage,Inferno,0.0,0.0,Train
2020-02-03,2339226,RED Canids,W7M,3,Inferno,Overpass,0.0,Vertigo,Mirage,0.0,Dust2,Train,Nuke
2020-02-03,2339224,Alma,paiN,1,Nuke,Vertigo,Overpass,Train,Dust2,Mirage,0.0,0.0,Inferno
2020-02-03,2339221,Unique,Nemiga,3,Vertigo,Overpass,0.0,Train,Mirage,0.0,Nuke,Inferno,Dust2
2020-02-03,2339222,Keyd,W7M,1,Inferno,Train,Mirage,Vertigo,Dust2,Overpass,0.0,0.0,Nuke
2020-02-03,2339223,Imperial,TeamOne,1,Mirage,Dust2,Train,Inferno,Vertigo,Nuke,0.0,0.0,Overpass
2020-02-02,2339157,Natus Vincere,OG,3,Vertigo,Overpass,0.0,Train,Nuke,0.0,Dust2,Mirage,Inferno
2020-02-02,2339186,Infinity,Rugratz,3,Vertigo,Mirage,0.0,Dust2,Overpass,0.0,Inferno,Nuke,Train
2020-02-02,2339150,ex-Genuine,FURY,1,Overpass,Mirage,Dust2,Vertigo,Nuke,Train,0.0,0.0,Inferno
2020-02-02,2339156,Virtus.pro,mousesports,3,Nuke,Inferno,0.0,Overpass,Mirage,0.0,Vertigo,Train,Dust2
2020-02-02,2339206,Vexed,Sinners,3,Inferno,Dust2,0.0,Vertigo,Train,0.0,Nuke,Overpass,Mirage
2020-02-02,2339159,ENCE,GODSENT,3,Vertigo,Dust2,0.0,Mirage,Train,0.0,Nuke,Inferno,Overpass
2020-02-02,2339158,MAD Lions,Heroic,3,Inferno,Overpass,0.0,Dust2,Vertigo,0.0,Mirage,Nuke,Train
